config,n_seeds,parametros,epocas_promedio,val_pr_auc_media,val_pr_auc_desvio,test_pr_auc_media,test_pr_auc_desvio,test_roc_auc_media,test_f1_max_media,test_brier_media
feat_d8_features_d8_h4_l2_linear,6,2465,25.7,0.7961,0.0329,0.7719,0.0682,0.9589,0.7851,0.0451
feat_d16_features_d16_h4_l2_linear,6,8001,26.2,0.7826,0.051,0.7718,0.0212,0.9646,0.7827,0.0453
feat_bins_features_d32_h4_l2_bins,6,30977,20.5,0.796,0.0351,0.7661,0.0216,0.9626,0.7833,0.0478
feat_l1_features_d32_h4_l1_linear,6,15681,23.5,0.7941,0.0318,0.766,0.0499,0.9689,0.789,0.0441
feat_mean_features_d32_h4_l2_linear_mean,6,28289,25.0,0.7952,0.0379,0.7644,0.0422,0.9608,0.7825,0.0456
pac20_feat_mean_features_d32_h4_l2_linear_mean,6,28289,45.2,0.798,0.0368,0.7644,0.0424,0.9629,0.7831,0.045
feat_pos_features_d32_h4_l2_linear_positional,6,28737,25.3,0.7804,0.021,0.7619,0.0449,0.9644,0.7872,0.0436
curva_frac25_features_d32_h4_l2_linear_catordinal_frac0.25,6,26177,86.8,0.7867,0.0359,0.758,0.0473,0.9639,0.7769,0.0483
fusion_words_w2v_fusion_d32_h4_l2_linear_wordsw2v,6,68865,21.7,0.8023,0.04,0.7571,0.0542,0.9634,0.7792,0.0545
bert_token_features_d32_h4_l2_linear_catordinal_temb-minilm,6,38497,46.7,0.7912,0.0315,0.7509,0.0598,0.9652,0.7694,0.049
pac20_mlp_base_mlp_d32_h4_l2_linear,6,126209,31.2,0.7902,0.0299,0.7503,0.0334,0.9699,0.7828,0.0453
listwise_texto_listwisetexto_d32_h4_l2_linear,4,78305,55.0,0.7963,0.0253,0.7491,0.0602,0.9613,0.7807,0.0505
fusion_words_fusion_d32_h4_l2_linear_words,6,68865,21.0,0.784,0.0334,0.7467,0.0369,0.9682,0.7887,0.0444
mlp_base_mlp_d32_h4_l2_linear,6,126209,17.8,0.7875,0.0299,0.7461,0.0359,0.9698,0.7849,0.0449
pac20_listwise_base_listwise_d32_h4_l2_linear,6,41601,63.3,0.7876,0.0257,0.7395,0.0358,0.9633,0.7848,0.0501
pac20_feat_posweight_features_d32_h4_l2_linear_posweight,6,28289,45.5,0.803,0.0319,0.739,0.0474,0.963,0.7888,0.0633
pac20_hybrid_sin_regex_hybrid_d32_h4_l2_linear_sin-listingstatus,6,38369,42.3,0.7679,0.0368,0.7355,0.0378,0.9547,0.7607,0.0518
pac20_hybrid_full_hybrid_d32_h4_l2_linear,6,39073,43.7,0.7765,0.0358,0.7349,0.0307,0.9609,0.772,0.0483
hybrid_status_campo_hybrid_d32_h4_l2_linear_stripstatus,6,39073,29.3,0.7687,0.0317,0.7327,0.0465,0.9567,0.7813,0.046
feat_posweight_features_d32_h4_l2_linear_posweight,6,28289,23.3,0.7927,0.0266,0.7317,0.0432,0.9616,0.7903,0.0623
pac20_tower_sin_regex_tower_d32_h4_l2_linear_sin-listingstatus,6,91457,51.8,0.7579,0.0227,0.731,0.0414,0.9503,0.7609,0.0512
tower_sin_regex_tower_d32_h4_l2_linear_sin-listingstatus,6,91457,32.3,0.7533,0.0229,0.726,0.0347,0.9515,0.7512,0.0529
hybrid_sin_regex_hybrid_d32_h4_l2_linear_sin-listingstatus,6,38369,30.7,0.7641,0.0434,0.7114,0.0319,0.9468,0.7464,0.0536
hybrid_full_hybrid_d32_h4_l2_linear,6,39073,20.5,0.7459,0.0337,0.7054,0.0618,0.9582,0.7806,0.046
listwise_base_listwise_d32_h4_l2_linear,6,41601,26.5,0.7479,0.0447,0.698,0.0437,0.9545,0.7741,0.0505
bert_token_sin_features_d32_h4_l2_linear_catordinal_temb-minilm_sin-listingstatus,6,38433,51.5,0.708,0.0437,0.6669,0.0267,0.935,0.6802,0.0655
text_base_text_d32_h4_l2_linear,6,35713,25.8,0.6913,0.0241,0.6524,0.0386,0.9461,0.7585,0.0515
text_d64_text_d64_h4_l2_linear,6,120577,21.8,0.6862,0.0235,0.651,0.0242,0.9367,0.7471,0.0545
text_words_text_d32_h4_l2_linear_words,6,40609,19.5,0.7039,0.0351,0.6467,0.0445,0.948,0.7668,0.0527
pac20_text_base_text_d32_h4_l2_linear,6,35713,39.0,0.6835,0.0298,0.6339,0.0337,0.9432,0.7512,0.0548
pac20_text_d64_text_d64_h4_l2_linear,6,120577,43.5,0.6921,0.024,0.6299,0.0261,0.935,0.7339,0.0582
text_len96_text_d32_h4_l2_linear,6,30593,24.3,0.664,0.0457,0.6257,0.0286,0.9441,0.7342,0.0554
bert_solo_mlp_d32_h4_l2_linear_temb-minilm_sin-all,6,3187073,49.3,0.5975,0.031,0.5666,0.0431,0.9292,0.6471,0.0774
feat_hash8_features_d32_h4_l2_linear_cathashing8,6,27521,52.2,0.5197,0.0389,0.4981,0.0412,0.8799,0.5028,0.0822
abl_sinres_features_d32_h4_l2_linear_catordinal_sinres,6,26177,37.5,0.2367,0.1099,0.2326,0.1111,0.6522,0.308,0.1084
sia_ae_mlp_mlp_d32_h4_l2_linear_ael16,6,148865,66.2,0.2699,0.0512,0.2284,0.0355,0.6833,0.3191,0.1052
feat_freq_features_d32_h4_l2_linear_catfreq,6,26177,68.7,0.2388,0.0968,0.2176,0.0953,0.6418,0.2979,0.104
